GND,Name
1019321067,"Adolphi, Alexis"
124306829,"Altmann, Wilhelm"
117762822,"Amster, Moritz"
116684208,"Anton, Helene"
1158842767,"Arbter, Emma Wanda von"
116518006,"Arends, Leopold"
1044287187,"Ascharin, Andreas"
119513439,"Bacmeister, Johann"
138442762,"Bakody, Tivadar"
1326954458,"Bauer, Erwin"
116089075,"Baumbach, Eduard"
118071750,"Baumbach, Nicolai"
116132914,"Bergmann, Eugen Ernst"
1032960728,"Bertels, Kurt"
116226099,"Böttcher, Mathilde"
1037718372,"Brinkmann, Max"
116828781,"Budberg-Benninghausen, Roman Friedrich"
unidentified001,"Buss, Aurelie"
1050422937,"Büttner, Hans"
1227439849,"Cambecq, Victor Ludwig"
116524685,"Claar, Emil"
132734405X,"Claus, Karl"
1055113177,"Conradi, Johanna"
118522310,"Corvin-Wiersbitzki, Otto Julius Bernhard von"
1050460235,"Daudert, Ernst Wilhelm"
unidentified002,"Dembitzki, Anton Leo"
1213287766,"Denffer, August Karl Nicolai Eugen von"
1055112596,"Donnersberg, Edit"
100809766,"Dräxler, Carl Ferdinand"
123905792X,"Dreyersdorff, Alberta"
1050460677,"Du Feaux, Emmy"
116243708,"Dukmeyer, Friedrich"
118869345,"Dulk, Albert Friedrich Benno"
1036990052,"Eckardt, Guido Heinrich"
1050470745,"Eckers, Gustav"
1193671655,"Eltz, Hugo von"
11614730X,"Engelhardt-Schnellstein, Helene von"
119351439,"Erdberg, Robert von"
1238483607,"Erdmann, Bruno Adam Julius Johann"
116586788,"Flachs, Adolf"
1037803639,"Franzius, Abraham Gottlieb Hermann"
116791845,"Friede, Victor von"
1152957317,"Friedenstein, Wilhelm"
116333235,"Gaehtgens, Hermann"
12420239X,"Gerbel, Nikolaj Vasilʹevič"
116647337,"Girgensohn, Lotta"
1025309391,"Glehn, Nikolai von"
1038112206,"Gleye, Maria Carlita"
116663952,"Glitsch, Konstantin"
1157480837,"Goldhammer, Karl Reinhold"
1038240697,"Grosewsky, Theodor Robert"
116879017,"Grotthuss, Jeannot Emil von"
116879483,"Grube, Max"
116893001,"Grünstein, Leo"
1212021932,"Grunwaldt, Eduard Gustav"
11869894X,"Guenther, Johannes von"
122762252X,"Günther, Viktor Leopold"
116931868,"Gutfeldt, Ina"
1202427057,"Haken, Alexander von"
116420871,"Halpern, Max"
116483350,"Harnack, Otto"
116523859,"Hauff, Gustav"
116527935,"Haupt, Josef"
136709680,"Hausmann, Julie"
103081062,"Hildebrandt-Strehlen, Karl Theodor Heinrich"
116932821,"Hoerschelmann, Emilie von"
118862944,"Holm, Korfiz"
116965355,"Holm, Mia"
1055122257,"Hülsen, Wilhelm"
117069698,"Hunnius, Carl"
140283080,"Jaeger, Jacques"
1089582196,"Jaksch, Elfriede"
117079669,"Jannsen, Harry"
101788665,"Jessen, Ludwig von"
118558765,"Jung, Frieda"
116015683,"Kaden, Woldemar"
1057766305,"Kegel, Franz"
118721690,"Keller, Samuel"
1102221384,"Keuchel, Gustav"
1157580815,"Kienitz, Oskar Carl Ernst"
113665954,"Kotzebue, Wilhelm von"
1018227644,"Kováts, Edgar"
141208813,"Kraus, Eberhard"
116555211,"Kronfeld, E. M."
11872472X,"Krüger, Herman Anders"
116581999,"Kügelgen, Constantin von"
1228123926,"Kügelgen, Heinrich von"
116590823,"Külpe, Frances"
11872567X,"Kyber, Manfred"
1157518834,"Laurenth, Julius"
117085278,"Lingen, Thekla"
unidentified004,"Lochay-Buresch, Emanuel"
1202427081,"Lortsch, Alfred"
11367645X,"Lortsch, Franziska"
1056134259,"Lucas, Auguste"
unidentified005,"Lyra, Adolf Julius"
116656301,"Mädler, Minna von"
1158098952,"Malsch, Marie von"
118992996,"Marholm, Laura"
1029309655,"Martinelli, Jeannot"
1204184321,"Masing, Adolf Wilhelm"
116991364,"Meerscheidt-Hüllessem, Leonie von"
unidentified006,"Mehr, Adolf B."
142986275,"Mendelssohn, Erich von"
137020546,"Mengden, Alexander"
1022870734,"Merwart, Karl"
129293393,"Meyer, Julius"
1049760239,"Meyke, Nina"
140470239,"Mickwitz, Christoph"
1089932367,"Müller, Valeria von"
117209708,"Nadler, Gustav Adolf"
13836480X,"Neander, Theodor"
127781412,"Norden, Julius"
unidentified007,"Nußbaum, Oswald Jsidor"
118973606,"Pantenius, Theodor Hermann"
1203066821,"Paucker, Heinrich Johann von"
1329209869,"Pekelmann, Konrad"
116134100,"Petrick, Alexander"
1158101309,"Petrowitsch, Karl von"
1036657981,"Pistohlkors, Marie von"
1019309229,"Pokorny, Johann"
unidentified008,"Radetzky, Friedrich Robert von"
116334851,"Rappaport, Moritz"
116391960,"Rehbinder, Nikolai"
103868546X,"Rehren, Ludmilla von"
1193684137,"Riekhoff, Friedrich Reinhold von"
118745492,"Rittner, Tadeusz"
unidentified009,"Röhde, Alide von"
116627018,"Rosenzweig, Leon"
116711825,"Rutenberg, Otto von"
118604570,"Sacher-Masoch, Leopold von"
117023477,"Sawka, Michael"
117108731,"Scharf, Ludwig"
1329686438,"Scheiner, Leopold"
104305126,"Schellbach, Reinhold"
117218235,"Scherenberg, Gustav Otto"
117218766,"Scherer, Franz"
117329053,"Schlippenbach, Gabriele von"
1055098747,"Schmid, Hedda von"
117506338,"Schmidt, Hans"
116836814,"Schneider, Martha"
116836709,"Schneider, Ludwig"
116857285,"Schoeler, Heinrich von"
116911832,"Schomacker, Hanna"
1074105532,"Schoultz von Ascheraden, Marie"
117059021,"Schrenck, Alexander Gustav von"
117072796,"Schroeder, Leopold von"
117192309,"Schultz, Georg Julius"
1187357847,"Schwartz, Wilhelm"
117470732,"Seuberlich, Rudolf W."
1057766526,"Siebert, John Eduard"
120451093,"Siller, Frank"
1053281102,"Simson, Ewald Wilhelm"
117419109,"Sivers, Jegór von"
1050319850,"Slevogt, S."
1031351493,"Sprengel, Clementine"
117202789,"Staël-Holstein, Lucie von"
unidentified010,"Starck, Karl Julius"
101559798,"Staufe-Simiginowicz, Ludwig Adolf"
1050523210,"Stavenhagen, Karl Georg Ehrenfried"
1055120238,"Stein, C. von"
118617605,"Stekel, Wilhelm"
139733590,"Stern, Karl von"
117276871,"Stern, Maurice Reinhold von"
117391468,"Stern-Szana, Bernhard"
117679658,"Szymanowski, Julius von"
117199028,"Tambour, Rudolf"
127975039,"Teichert, Hedwig"
137620403,"Thenen, Julie"
1193761808,"Tideböhl, Arnold Gustav Wilhelm von"
131735888,"Toporoff, Wilhelm"
11740649X,"Tornius, Valerian"
117439967,"Tyrol, Marie"
117287520,"Ulmann, Karl Konrad"
101257198,"Umlauff von Frankwell, Victor"
118763733,"Ungern-Sternberg, Alexander von"
126457719,"Uxkull, Woldemar von"
127990011,"Vietinghoff, Lilly"
11909892X,"Volkmann-Leander, Richard von"
126964750,"Vortmann-Sienkiewicz, Thusnelde"
1027723640,"Weiser, Karl"
117278556,"Welten, Oskar"
11733555X,"Wichert, Ernst"
116144742,"Wildberg, Bodo"
117395404,"Wilm, Nicolai von"
1236938216,"Wilpert, Richard"
10417997X,"Wittorff, Andreas Wilhelm von"
117424218,"Worms, Carl"
117359084,"Wurzbach, Alfred von"
1318563402,"Würzburg, Ludwig"
117005894,"Zipper, Albert"
